row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,country,city,state,postal_code,region,sales,created_at,delivery_days,order_month,order_quarter,order_year,weekend_order,high_value_order,sales_category,order_frequency,customer_total_sales,return_flag
1,CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,FUR-BO-10001798,United States,Henderson,Kentucky,42420.0,South,261.96,2026-08-04 15:34:05.274309,3,November,Q4,2017,False,False,Medium,5,1148.78,False
2,CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,FUR-CH-10000454,United States,Henderson,Kentucky,42420.0,South,731.94,2026-08-04 15:34:05.274309,3,November,Q4,2017,False,True,High,5,1148.78,False
3,CA-2017-138688,2017-06-12,2017-06-16,Second Class,DV-13045,OFF-LA-10000240,United States,Los Angeles,California,90036.0,West,14.62,2026-08-04 15:34:05.274309,4,June,Q2,2017,False,False,Low,9,1119.48,False
4,US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,FUR-TA-10000577,United States,Fort Lauderdale,Florida,33311.0,South,957.58,2026-08-04 15:34:05.274309,7,October,Q4,2016,False,True,High,15,2602.58,False
5,US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,OFF-ST-10000760,United States,Fort Lauderdale,Florida,33311.0,South,22.37,2026-08-04 15:34:05.274309,7,October,Q4,2016,False,False,Low,15,2602.58,False
6,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,FUR-FU-10001487,United States,Los Angeles,California,90032.0,West,48.86,2026-08-04 15:34:05.274309,5,June,Q2,2015,False,False,Low,24,6255.34,False
7,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-AR-10002833,United States,Los Angeles,California,90032.0,West,7.28,2026-08-04 15:34:05.274309,5,June,Q2,2015,False,False,Low,24,6255.34,False
8,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,TEC-PH-10002275,United States,Los Angeles,California,90032.0,West,907.15,2026-08-04 15:34:05.274309,5,June,Q2,2015,False,True,High,24,6255.34,False
9,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-BI-10003910,United States,Los Angeles,California,90032.0,West,18.5,2026-08-04 15:34:05.274309,5,June,Q2,2015,False,False,Low,24,6255.34,False
10,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-AP-10002892,United States,Los Angeles,California,90032.0,West,114.9,2026-08-04 15:34:05.274309,5,June,Q2,2015,False,False,Medium,24,6255.34,False
11,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,FUR-TA-10001539,United States,Los Angeles,California,90032.0,West,1706.18,2026-08-04 15:34:05.274309,5,June,Q2,2015,False,True,High,24,6255.34,False
12,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,TEC-PH-10002033,United States,Los Angeles,California,90032.0,West,911.42,2026-08-04 15:34:05.274309,5,June,Q2,2015,False,True,High,24,6255.34,False
13,CA-2018-114412,2018-04-15,2018-04-20,Standard Class,AA-10480,OFF-PA-10002365,United States,Concord,North Carolina,28027.0,South,15.55,2026-08-04 15:34:05.274309,5,April,Q2,2018,True,False,Low,12,1790.51,False
14,CA-2017-161389,2017-12-05,2017-12-10,Standard Class,IM-15070,OFF-BI-10003656,United States,Seattle,Washington,98103.0,West,407.98,2026-08-04 15:34:05.274309,5,December,Q4,2017,False,False,Medium,21,4930.49,False
15,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,OFF-AP-10002311,United States,Fort Worth,Texas,76106.0,Central,68.81,2026-08-04 15:34:05.274309,4,November,Q4,2016,False,False,Low,10,1990.3100000000002,False
16,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,OFF-BI-10000756,United States,Fort Worth,Texas,76106.0,Central,2.54,2026-08-04 15:34:05.274309,4,November,Q4,2016,False,False,Low,10,1990.3100000000002,False
17,CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075,OFF-ST-10004186,United States,Madison,Wisconsin,53711.0,Central,665.88,2026-08-04 15:34:05.274309,7,November,Q4,2015,False,True,High,25,8646.93,False
18,CA-2015-167164,2015-05-13,2015-05-15,Second Class,AG-10270,OFF-ST-10000107,United States,West Jordan,Utah,84084.0,West,55.5,2026-08-04 15:34:05.274309,2,May,Q2,2015,False,False,Low,14,2582.9,False
19,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,OFF-AR-10003056,United States,San Francisco,California,94109.0,West,8.56,2026-08-04 15:34:05.274309,5,August,Q3,2015,False,False,Low,9,1493.94,False
20,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,TEC-PH-10001949,United States,San Francisco,California,94109.0,West,213.48,2026-08-04 15:34:05.274309,5,August,Q3,2015,False,False,Medium,9,1493.94,False
21,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,OFF-BI-10002215,United States,San Francisco,California,94109.0,West,22.72,2026-08-04 15:34:05.274309,5,August,Q3,2015,False,False,Low,9,1493.94,False
22,CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,OFF-AR-10000246,United States,Fremont,Nebraska,68025.0,Central,19.46,2026-08-04 15:34:05.274309,4,December,Q4,2017,True,False,Low,23,2744.7400000000002,False
23,CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,OFF-AP-10001492,United States,Fremont,Nebraska,68025.0,Central,60.34,2026-08-04 15:34:05.274309,4,December,Q4,2017,True,False,Low,23,2744.7400000000002,False
24,US-2018-156909,2018-07-16,2018-07-18,Second Class,SF-20065,FUR-CH-10002774,United States,Philadelphia,Pennsylvania,19140.0,East,71.37,2026-08-04 15:34:05.274309,2,July,Q3,2018,False,False,Low,9,763.54,False
25,CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870,FUR-TA-10000577,United States,Orem,Utah,84057.0,West,1044.63,2026-08-04 15:34:05.274309,5,September,Q3,2016,True,True,High,11,2767.2200000000003,False
26,CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,OFF-BI-10001634,United States,Los Angeles,California,90049.0,West,11.65,2026-08-04 15:34:05.274309,4,January,Q1,2017,False,False,Low,17,684.18,False
27,CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,TEC-AC-10003027,United States,Los Angeles,California,90049.0,West,90.57,2026-08-04 15:34:05.274309,4,January,Q1,2017,False,False,Low,17,684.18,False
28,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,FUR-BO-10004834,United States,Philadelphia,Pennsylvania,19140.0,East,3083.43,2026-08-04 15:34:05.274309,4,September,Q3,2016,True,True,High,20,4737.48,False
29,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-BI-10000474,United States,Philadelphia,Pennsylvania,19140.0,East,9.62,2026-08-04 15:34:05.274309,4,September,Q3,2016,True,False,Low,20,4737.48,False
30,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,FUR-FU-10004848,United States,Philadelphia,Pennsylvania,19140.0,East,124.2,2026-08-04 15:34:05.274309,4,September,Q3,2016,True,False,Medium,20,4737.48,False
31,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-EN-10001509,United States,Philadelphia,Pennsylvania,19140.0,East,3.26,2026-08-04 15:34:05.274309,4,September,Q3,2016,True,False,Low,20,4737.48,False
32,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-AR-10004042,United States,Philadelphia,Pennsylvania,19140.0,East,86.3,2026-08-04 15:34:05.274309,4,September,Q3,2016,True,False,Low,20,4737.48,False
33,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-BI-10001525,United States,Philadelphia,Pennsylvania,19140.0,East,6.86,2026-08-04 15:34:05.274309,4,September,Q3,2016,True,False,Low,20,4737.48,False
34,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-AR-10001683,United States,Philadelphia,Pennsylvania,19140.0,East,15.76,2026-08-04 15:34:05.274309,4,September,Q3,2016,True,False,Low,20,4737.48,False
35,CA-2018-107727,2018-10-19,2018-10-23,Second Class,MA-17560,OFF-PA-10000249,United States,Houston,Texas,77095.0,Central,29.47,2026-08-04 15:34:05.274309,4,October,Q4,2018,False,False,Low,34,4299.16,True
36,CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,TEC-PH-10004977,United States,Richardson,Texas,75080.0,Central,1097.54,2026-08-04 15:34:05.274309,2,December,Q4,2017,False,True,High,3,1361.24,False
37,CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,FUR-FU-10003664,United States,Richardson,Texas,75080.0,Central,190.92,2026-08-04 15:34:05.274309,2,December,Q4,2017,False,False,Medium,3,1361.24,True
38,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,OFF-EN-10002986,United States,Houston,Texas,77041.0,Central,113.33,2026-08-04 15:34:05.274309,4,December,Q4,2016,False,False,Medium,19,3127.97,False
39,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,FUR-BO-10002545,United States,Houston,Texas,77041.0,Central,532.4,2026-08-04 15:34:05.274309,4,December,Q4,2016,False,True,High,19,3127.97,False
40,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,FUR-CH-10004218,United States,Houston,Texas,77041.0,Central,212.06,2026-08-04 15:34:05.274309,4,December,Q4,2016,False,False,Medium,19,3127.97,False
41,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,TEC-PH-10000486,United States,Houston,Texas,77041.0,Central,371.17,2026-08-04 15:34:05.274309,4,December,Q4,2016,False,False,Medium,19,3127.97,False
42,CA-2018-120999,2018-09-10,2018-09-15,Standard Class,LC-16930,TEC-PH-10004093,United States,Naperville,Illinois,60540.0,Central,147.17,2026-08-04 15:34:05.274309,5,September,Q3,2018,False,False,Medium,14,4492.9400000000005,False
