inventory_id,product_id,supplier_id,warehouse_name,warehouse_location,stock_quantity,reorder_level,stock_status,last_restock_date,last_updated
1,FUR-BO-10000112,1,Furniture Warehouse,New York,60,62,Low Stock,2026-07-19,2026-08-06 01:40:20.449387
2,FUR-BO-10000330,2,Furniture Warehouse,New York,249,25,In Stock,2026-07-28,2026-08-06 01:40:20.449387
3,FUR-BO-10000362,3,Furniture Warehouse,New York,207,55,In Stock,2026-06-23,2026-08-06 01:40:20.449387
4,FUR-BO-10000468,4,Furniture Warehouse,New York,449,36,In Stock,2026-06-25,2026-08-06 01:40:20.449387
5,FUR-BO-10000711,5,Furniture Warehouse,New York,496,78,In Stock,2026-06-21,2026-08-06 01:40:20.449387
6,FUR-BO-10000780,6,Furniture Warehouse,New York,369,65,In Stock,2026-06-09,2026-08-06 01:40:20.449387
7,FUR-BO-10001337,7,Furniture Warehouse,New York,96,80,In Stock,2026-07-30,2026-08-06 01:40:20.449387
8,FUR-BO-10001519,8,Furniture Warehouse,New York,445,25,In Stock,2026-06-22,2026-08-06 01:40:20.449387
9,FUR-BO-10001567,9,Furniture Warehouse,New York,176,29,In Stock,2026-07-03,2026-08-06 01:40:20.449387
10,FUR-BO-10001601,10,Furniture Warehouse,New York,401,39,In Stock,2026-06-27,2026-08-06 01:40:20.449387
11,FUR-BO-10001608,11,Furniture Warehouse,New York,169,57,In Stock,2026-08-04,2026-08-06 01:40:20.449387
12,FUR-BO-10001619,12,Furniture Warehouse,New York,496,28,In Stock,2026-06-24,2026-08-06 01:40:20.449387
13,FUR-BO-10001798,13,Furniture Warehouse,New York,104,43,In Stock,2026-06-13,2026-08-06 01:40:20.449387
14,FUR-BO-10001811,14,Furniture Warehouse,New York,85,56,In Stock,2026-07-09,2026-08-06 01:40:20.449387
15,FUR-BO-10001918,15,Furniture Warehouse,New York,352,65,In Stock,2026-08-06,2026-08-06 01:40:20.449387
16,FUR-BO-10001972,16,Furniture Warehouse,New York,119,23,In Stock,2026-07-13,2026-08-06 01:40:20.449387
17,FUR-BO-10002202,17,Furniture Warehouse,New York,83,71,In Stock,2026-06-20,2026-08-06 01:40:20.449387
18,FUR-BO-10002206,1,Furniture Warehouse,New York,455,28,In Stock,2026-06-09,2026-08-06 01:40:20.449387
19,FUR-BO-10002213,2,Furniture Warehouse,New York,80,58,In Stock,2026-07-28,2026-08-06 01:40:20.449387
20,FUR-BO-10002268,3,Furniture Warehouse,New York,228,65,In Stock,2026-06-24,2026-08-06 01:40:20.449387
21,FUR-BO-10002545,4,Furniture Warehouse,New York,329,42,In Stock,2026-07-29,2026-08-06 01:40:20.449387
22,FUR-BO-10002598,5,Furniture Warehouse,New York,453,26,In Stock,2026-07-19,2026-08-06 01:40:20.449387
23,FUR-BO-10002613,6,Furniture Warehouse,New York,373,57,In Stock,2026-06-23,2026-08-06 01:40:20.449387
24,FUR-BO-10002824,7,Furniture Warehouse,New York,137,52,In Stock,2026-07-31,2026-08-06 01:40:20.449387
25,FUR-BO-10002853,8,Furniture Warehouse,New York,265,59,In Stock,2026-08-02,2026-08-06 01:40:20.449387
26,FUR-BO-10002916,9,Furniture Warehouse,New York,344,40,In Stock,2026-07-04,2026-08-06 01:40:20.449387
27,FUR-BO-10003034,10,Furniture Warehouse,New York,211,67,In Stock,2026-07-10,2026-08-06 01:40:20.449387
28,FUR-BO-10003159,11,Furniture Warehouse,New York,325,25,In Stock,2026-08-01,2026-08-06 01:40:20.449387
29,FUR-BO-10003272,12,Furniture Warehouse,New York,140,25,In Stock,2026-06-16,2026-08-06 01:40:20.449387
30,FUR-BO-10003404,13,Furniture Warehouse,New York,157,80,In Stock,2026-06-09,2026-08-06 01:40:20.449387
31,FUR-BO-10003433,14,Furniture Warehouse,New York,200,39,In Stock,2026-07-03,2026-08-06 01:40:20.449387
