return_id,order_row_id,product_id,return_date,return_reason,refund_amount,return_status,created_at
1,8115,OFF-AR-10004817,2018-10-23,Customer Changed Mind,18.58,Completed,2026-08-06 01:42:10.267403
2,2681,TEC-AC-10002049,2018-02-01,Other,557.96,Requested,2026-08-06 01:42:10.267403
3,7207,TEC-MA-10002930,2018-10-14,Wrong Item,332.24,Completed,2026-08-06 01:42:10.267403
4,1615,TEC-AC-10004855,2017-04-04,Wrong Item,75.58,Completed,2026-08-06 01:42:10.267403
5,4511,FUR-FU-10001085,2017-11-26,Other,33.57,Requested,2026-08-06 01:42:10.267403
6,9084,OFF-ST-10002554,2016-02-20,Damaged Product,132.06,Completed,2026-08-06 01:42:10.267403
7,7717,OFF-PA-10004041,2016-01-28,Wrong Item,26.64,Completed,2026-08-06 01:42:10.267403
8,2989,TEC-AC-10004227,2017-03-12,Wrong Item,11.69,Completed,2026-08-06 01:42:10.267403
9,4101,OFF-AP-10004655,2018-06-25,Customer Changed Mind,2.03,Requested,2026-08-06 01:42:10.267403
10,8237,FUR-CH-10002024,2018-05-18,Other,2523.53,Completed,2026-08-06 01:42:10.267403
11,9202,OFF-BI-10004584,2017-10-24,Late Delivery,284.38,Approved,2026-08-06 01:42:10.267403
12,8250,OFF-BI-10002854,2016-03-10,Damaged Product,10.09,Rejected,2026-08-06 01:42:10.267403
13,5323,FUR-FU-10003691,2018-10-30,Wrong Item,17.78,Completed,2026-08-06 01:42:10.267403
14,37,FUR-FU-10003664,2017-12-25,Wrong Item,171.83,Completed,2026-08-06 01:42:10.267403
15,7612,OFF-PA-10000791,2016-02-25,Late Delivery,8.59,Approved,2026-08-06 01:42:10.267403
16,2336,OFF-EN-10004030,2018-12-26,Defective Product,9.77,Completed,2026-08-06 01:42:10.267403
17,5534,TEC-AC-10003174,2017-06-20,Defective Product,291.03,Completed,2026-08-06 01:42:10.267403
18,3433,OFF-PA-10003651,2018-12-21,Wrong Item,54.11,Completed,2026-08-06 01:42:10.267403
19,7387,OFF-ST-10004340,2017-09-30,Wrong Item,335.77,Completed,2026-08-06 01:42:10.267403
20,8790,FUR-BO-10000468,2018-07-05,Damaged Product,69.96,Rejected,2026-08-06 01:42:10.267403
21,8383,FUR-CH-10001270,2017-02-21,Wrong Item,217.35,Completed,2026-08-06 01:42:10.267403
22,6162,OFF-LA-10000443,2015-04-05,Damaged Product,10.63,Approved,2026-08-06 01:42:10.267403
23,1650,TEC-PH-10003357,2016-10-01,Damaged Product,41.3,Rejected,2026-08-06 01:42:10.267403
24,7381,OFF-LA-10004559,2017-09-24,Wrong Item,12.96,Requested,2026-08-06 01:42:10.267403
25,1216,OFF-AR-10003602,2018-09-30,Late Delivery,4.2,Completed,2026-08-06 01:42:10.267403
26,2520,OFF-LA-10003223,2017-11-09,Damaged Product,26.51,Rejected,2026-08-06 01:42:10.267403
27,3920,OFF-ST-10001321,2016-12-26,Defective Product,55.51,Rejected,2026-08-06 01:42:10.267403
28,5281,OFF-ST-10001837,2018-10-18,Wrong Item,76.97,Requested,2026-08-06 01:42:10.267403
29,7583,FUR-CH-10003968,2016-04-29,Other,114.98,Completed,2026-08-06 01:42:10.267403
30,3489,FUR-CH-10004086,2016-07-21,Customer Changed Mind,367.58,Completed,2026-08-06 01:42:10.267403
31,7810,TEC-PH-10004080,2017-01-23,Late Delivery,97.9,Rejected,2026-08-06 01:42:10.267403
32,9762,TEC-AC-10000736,2015-03-03,Damaged Product,215.97,Approved,2026-08-06 01:42:10.267403
33,201,OFF-PA-10002666,2018-06-30,Customer Changed Mind,19.57,Requested,2026-08-06 01:42:10.267403
34,9610,FUR-FU-10002116,2017-05-31,Late Delivery,254.56,Rejected,2026-08-06 01:42:10.267403
35,8202,OFF-ST-10000885,2016-11-15,Damaged Product,60.44,Approved,2026-08-06 01:42:10.267403
36,5620,TEC-AC-10001908,2017-10-20,Late Delivery,449.96,Rejected,2026-08-06 01:42:10.267403
37,9499,OFF-PA-10000565,2018-12-04,Wrong Item,151.15,Completed,2026-08-06 01:42:10.267403
38,2271,OFF-AR-10004344,2018-12-28,Customer Changed Mind,43.16,Requested,2026-08-06 01:42:10.267403
39,9226,OFF-BI-10004040,2018-11-10,Late Delivery,3.73,Completed,2026-08-06 01:42:10.267403
40,5326,FUR-FU-10004270,2016-12-10,Late Delivery,22.57,Completed,2026-08-06 01:42:10.267403
41,3497,FUR-TA-10001932,2017-09-04,Other,461.72,Completed,2026-08-06 01:42:10.267403
42,3812,FUR-CH-10004477,2016-11-29,Defective Product,131.53,Approved,2026-08-06 01:42:10.267403
43,7840,OFF-EN-10001509,2015-04-17,Late Delivery,5.51,Rejected,2026-08-06 01:42:10.267403
44,4057,FUR-TA-10004147,2015-10-11,Wrong Item,60.46,Completed,2026-08-06 01:42:10.267403
45,6067,OFF-SU-10000898,2016-02-08,Wrong Item,80.06,Completed,2026-08-06 01:42:10.267403
46,7592,FUR-CH-10001146,2017-09-27,Defective Product,64.13,Approved,2026-08-06 01:42:10.267403
47,358,OFF-PA-10002713,2017-04-21,Late Delivery,30.96,Completed,2026-08-06 01:42:10.267403
48,3348,OFF-AR-10003156,2016-09-10,Damaged Product,45.72,Completed,2026-08-06 01:42:10.267403
49,2446,TEC-PH-10001336,2017-06-17,Late Delivery,232.18,Completed,2026-08-06 01:42:10.267403
50,2139,OFF-PA-10004092,2018-12-05,Customer Changed Mind,132.14,Completed,2026-08-06 01:42:10.267403
51,5751,FUR-TA-10001539,2015-06-05,Customer Changed Mind,319.91,Requested,2026-08-06 01:42:10.267403
52,8741,OFF-AR-10004456,2017-08-14,Other,65.88,Requested,2026-08-06 01:42:10.267403
53,4696,FUR-CH-10003846,2017-01-12,Late Delivery,272.65,Completed,2026-08-06 01:42:10.267403
54,8986,FUR-FU-10000222,2016-12-19,Late Delivery,70.16,Completed,2026-08-06 01:42:10.267403
55,9038,OFF-ST-10002214,2016-04-25,Defective Product,20.32,Completed,2026-08-06 01:42:10.267403
56,7164,OFF-EN-10004773,2015-05-11,Damaged Product,223.06,Completed,2026-08-06 01:42:10.267403
57,8104,OFF-ST-10002406,2016-05-31,Late Delivery,94.31,Completed,2026-08-06 01:42:10.267403
58,9604,FUR-TA-10003715,2017-06-26,Late Delivery,339.18,Completed,2026-08-06 01:42:10.267403
59,6778,TEC-AC-10002800,2018-02-05,Late Delivery,404.92,Completed,2026-08-06 01:42:10.267403
60,2733,TEC-PH-10002923,2015-07-15,Customer Changed Mind,66.58,Completed,2026-08-06 01:42:10.267403
61,9492,OFF-AR-10000817,2018-01-25,Damaged Product,8.21,Approved,2026-08-06 01:42:10.267403
62,601,TEC-PH-10003963,2017-07-22,Wrong Item,444.94,Requested,2026-08-06 01:42:10.267403
63,1126,OFF-EN-10001539,2015-01-26,Late Delivery,21.01,Completed,2026-08-06 01:42:10.267403
64,3596,OFF-AR-10004757,2019-01-04,Defective Product,2.36,Completed,2026-08-06 01:42:10.267403
65,8217,OFF-BI-10001982,2016-10-17,Customer Changed Mind,2.93,Completed,2026-08-06 01:42:10.267403
66,6616,FUR-BO-10004218,2017-07-08,Late Delivery,215.7,Completed,2026-08-06 01:42:10.267403
67,6675,OFF-AR-10003759,2016-11-26,Customer Changed Mind,9.83,Completed,2026-08-06 01:42:10.267403
68,6440,FUR-CH-10003298,2015-10-24,Defective Product,530.47,Rejected,2026-08-06 01:42:10.267403
69,5308,TEC-PH-10002583,2017-03-06,Late Delivery,35.98,Completed,2026-08-06 01:42:10.267403
70,4091,OFF-SU-10001574,2017-04-22,Other,9.86,Requested,2026-08-06 01:42:10.267403
71,3672,OFF-ST-10001031,2016-01-04,Damaged Product,35.16,Approved,2026-08-06 01:42:10.267403
72,2474,FUR-CH-10001190,2017-12-02,Defective Product,195.82,Completed,2026-08-06 01:42:10.267403
73,7293,TEC-MA-10001856,2018-12-27,Customer Changed Mind,584.1,Completed,2026-08-06 01:42:10.267403
74,9215,OFF-LA-10004677,2018-10-20,Other,18.59,Completed,2026-08-06 01:42:10.267403
75,526,OFF-FA-10002815,2017-01-01,Late Delivery,19.98,Completed,2026-08-06 01:42:10.267403
76,8482,OFF-AR-10001860,2017-06-05,Late Delivery,14.99,Approved,2026-08-06 01:42:10.267403
77,35,OFF-PA-10000249,2018-11-03,Other,26.52,Completed,2026-08-06 01:42:10.267403
78,3270,TEC-AC-10003709,2015-08-09,Damaged Product,2.67,Rejected,2026-08-06 01:42:10.267403
79,9279,OFF-BI-10001759,2018-12-10,Customer Changed Mind,7.2,Completed,2026-08-06 01:42:10.267403
80,8906,TEC-AC-10001635,2017-07-12,Defective Product,27.76,Completed,2026-08-06 01:42:10.267403
81,2410,FUR-FU-10000758,2018-04-07,Late Delivery,190.66,Rejected,2026-08-06 01:42:10.267403
82,8039,FUR-BO-10003966,2018-07-19,Other,392.4,Completed,2026-08-06 01:42:10.267403
83,2076,FUR-FU-10001861,2015-12-07,Damaged Product,52.38,Completed,2026-08-06 01:42:10.267403
84,7658,FUR-FU-10004091,2015-04-28,Defective Product,168.98,Completed,2026-08-06 01:42:10.267403
