transport_id,order_row_id,carrier_name,tracking_number,shipment_status,dispatch_date,estimated_delivery_date,actual_delivery_date,delivery_cost,created_at
1,1,Delhivery,TRK-00000001,Delivered,2017-11-08,2017-11-12,2017-11-12,32.74,2026-08-06 01:41:13.679294
2,2,Xpressbees,TRK-00000002,Delivered,2017-11-10,2017-11-13,2017-11-13,40.59,2026-08-06 01:41:13.679294
3,3,Fedex,TRK-00000003,Delivered,2017-06-13,2017-06-18,2017-06-18,36.12,2026-08-06 01:41:13.679294
4,4,Dhl,TRK-00000004,Delivered,2016-10-13,2016-10-17,2016-10-18,37.34,2026-08-06 01:41:13.679294
5,5,Dhl,TRK-00000005,Delivered,2016-10-13,2016-10-16,2016-10-16,32.85,2026-08-06 01:41:13.679294
6,6,Blue Dart,TRK-00000006,Delivered,2015-06-11,2015-06-14,2015-06-14,43.3,2026-08-06 01:41:13.679294
7,7,Ups,TRK-00000007,Delivered,2015-06-11,2015-06-15,2015-06-15,12.05,2026-08-06 01:41:13.679294
8,8,Dhl,TRK-00000008,Delivered,2015-06-09,2015-06-14,2015-06-14,22.13,2026-08-06 01:41:13.679294
9,9,Xpressbees,TRK-00000009,Delivered,2015-06-10,2015-06-15,2015-06-15,24.49,2026-08-06 01:41:13.679294
10,10,Fedex,TRK-00000010,Delivered,2015-06-09,2015-06-14,2015-06-14,29.06,2026-08-06 01:41:13.679294
11,11,Fedex,TRK-00000011,Delivered,2015-06-11,2015-06-14,2015-06-14,46.45,2026-08-06 01:41:13.679294
12,12,Blue Dart,TRK-00000012,Delivered,2015-06-10,2015-06-14,2015-06-14,28.48,2026-08-06 01:41:13.679294
13,13,Delhivery,TRK-00000013,Delivered,2018-04-17,2018-04-21,2018-04-21,18.84,2026-08-06 01:41:13.679294
14,14,Xpressbees,TRK-00000014,Delivered,2017-12-06,2017-12-11,2017-12-11,15.64,2026-08-06 01:41:13.679294
15,15,Xpressbees,TRK-00000015,Delivered,2016-11-24,2016-11-27,2016-11-28,35.35,2026-08-06 01:41:13.679294
16,16,Delhivery,TRK-00000016,In Transit,2016-11-22,2016-11-27,,46.82,2026-08-06 01:41:13.679294
17,17,Dhl,TRK-00000017,In Transit,2015-11-11,2015-11-14,,25.42,2026-08-06 01:41:13.679294
18,18,Delhivery,TRK-00000018,Delivered,2015-05-13,2015-05-18,2015-05-18,43.5,2026-08-06 01:41:13.679294
19,19,Dhl,TRK-00000019,Delivered,2015-08-28,2015-09-01,2015-09-01,29.84,2026-08-06 01:41:13.679294
20,20,Fedex,TRK-00000020,Delivered,2015-08-27,2015-09-01,2015-09-01,19.85,2026-08-06 01:41:13.679294
21,21,Xpressbees,TRK-00000021,Delivered,2015-08-29,2015-09-02,2015-09-02,27.78,2026-08-06 01:41:13.679294
22,22,Dhl,TRK-00000022,In Transit,2017-12-10,2017-12-13,,10.93,2026-08-06 01:41:13.679294
23,23,Dhl,TRK-00000023,Delivered,2017-12-10,2017-12-13,2017-12-13,39.78,2026-08-06 01:41:13.679294
24,24,Xpressbees,TRK-00000024,Delivered,2018-07-17,2018-07-22,2018-07-22,33.54,2026-08-06 01:41:13.679294
25,25,Dhl,TRK-00000025,In Transit,2016-09-25,2016-09-30,,14.84,2026-08-06 01:41:13.679294
26,26,Ups,TRK-00000026,Delivered,2017-01-16,2017-01-21,2017-01-21,29.75,2026-08-06 01:41:13.679294
27,27,Blue Dart,TRK-00000027,Delivered,2017-01-16,2017-01-19,2017-01-19,13.35,2026-08-06 01:41:13.679294
28,28,Blue Dart,TRK-00000028,Delivered,2016-09-19,2016-09-24,2016-09-24,45.97,2026-08-06 01:41:13.679294
29,29,Dhl,TRK-00000029,Delivered,2016-09-17,2016-09-20,2016-09-20,28.92,2026-08-06 01:41:13.679294
30,30,Xpressbees,TRK-00000030,Delivered,2016-09-19,2016-09-23,2016-09-23,20.36,2026-08-06 01:41:13.679294
31,31,Fedex,TRK-00000031,Delivered,2016-09-18,2016-09-21,2016-09-21,42.36,2026-08-06 01:41:13.679294
32,32,Ups,TRK-00000032,Delivered,2016-09-19,2016-09-24,2016-09-24,17.6,2026-08-06 01:41:13.679294
33,33,Dhl,TRK-00000033,Delivered,2016-09-18,2016-09-22,2016-09-22,26.8,2026-08-06 01:41:13.679294
34,34,Ups,TRK-00000034,Delivered,2016-09-19,2016-09-24,2016-09-26,43.33,2026-08-06 01:41:13.679294
35,35,Fedex,TRK-00000035,In Transit,2018-10-19,2018-10-22,,47.2,2026-08-06 01:41:13.679294
