payment_id,order_row_id,payment_method,payment_status,payment_date,transaction_reference,payment_amount,created_at
1,1,Net Banking,Completed,2017-11-08,TXN-00000001,261.96,2026-08-06 01:41:39.368897
2,2,Debit Card,Completed,2017-11-11,TXN-00000002,731.94,2026-08-06 01:41:39.368897
3,3,Cash,Completed,2017-06-16,TXN-00000003,14.62,2026-08-06 01:41:39.368897
4,4,Credit Card,Completed,2016-10-11,TXN-00000004,957.58,2026-08-06 01:41:39.368897
5,5,Credit Card,Completed,2016-10-14,TXN-00000005,22.37,2026-08-06 01:41:39.368897
6,6,Credit Card,Completed,2015-06-13,TXN-00000006,48.86,2026-08-06 01:41:39.368897
7,7,UPI,Pending,2015-06-13,TXN-00000007,7.28,2026-08-06 01:41:39.368897
8,8,Cash,Completed,2015-06-11,TXN-00000008,907.15,2026-08-06 01:41:39.368897
9,9,Cash,Completed,2015-06-12,TXN-00000009,18.5,2026-08-06 01:41:39.368897
10,10,Credit Card,Completed,2015-06-09,TXN-00000010,114.9,2026-08-06 01:41:39.368897
11,11,UPI,Completed,2015-06-11,TXN-00000011,1706.18,2026-08-06 01:41:39.368897
12,12,UPI,Completed,2015-06-10,TXN-00000012,911.42,2026-08-06 01:41:39.368897
13,13,Wallet,Completed,2018-04-18,TXN-00000013,15.55,2026-08-06 01:41:39.368897
14,14,Credit Card,Completed,2017-12-07,TXN-00000014,407.98,2026-08-06 01:41:39.368897
15,15,Credit Card,Completed,2016-11-22,TXN-00000015,68.81,2026-08-06 01:41:39.368897
16,16,Credit Card,Completed,2016-11-24,TXN-00000016,2.54,2026-08-06 01:41:39.368897
17,17,Cash,Completed,2015-11-15,TXN-00000017,665.88,2026-08-06 01:41:39.368897
18,18,Wallet,Completed,2015-05-14,TXN-00000018,55.5,2026-08-06 01:41:39.368897
19,19,Debit Card,Completed,2015-08-30,TXN-00000019,8.56,2026-08-06 01:41:39.368897
20,20,Cash,Completed,2015-08-28,TXN-00000020,213.48,2026-08-06 01:41:39.368897
21,21,Wallet,Completed,2015-08-29,TXN-00000021,22.72,2026-08-06 01:41:39.368897
