discount_id,customer_id,discount_type,discount_percentage,start_date,end_date,is_active,created_at
1,LT-16765,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
2,SC-20845,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
3,AC-10615,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
4,BT-11485,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
5,JP-15520,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
6,CM-11815,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
7,LB-16735,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
8,JD-16150,Seasonal,15.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
9,JG-15805,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
10,TS-21610,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
11,RF-19345,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
12,AZ-10750,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
13,CG-12040,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
14,TS-21430,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
15,TP-21130,Coupon,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
16,KD-16270,Promotional,15.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
17,EM-13810,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
18,AI-10855,Seasonal,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
19,MH-17290,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
20,MB-17305,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
21,JR-15670,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
22,JH-16180,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
23,AB-10060,Seasonal,15.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
24,RS-19420,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
25,AG-10390,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
26,GK-14620,Seasonal,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
27,SB-20290,Promotional,15.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
28,JS-15880,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
29,LO-17170,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
30,CR-12625,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
31,CA-12775,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
32,AB-10600,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
33,ES-14080,Seasonal,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
34,AS-10285,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
35,RB-19330,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
36,HK-14890,Loyalty,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
37,DK-13090,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
38,SH-20635,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
39,LL-16840,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
40,PO-19180,Coupon,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
41,VG-21805,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
42,AB-10105,Festival,20.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
43,CS-12130,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
44,MO-17800,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
45,CB-12025,Coupon,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
46,JB-16045,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
47,CC-12610,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
48,BM-11785,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
49,DC-12850,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
50,AH-10030,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
51,LW-17215,Festival,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
52,VW-21775,Festival,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
53,RB-19705,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
54,HD-14785,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
55,HG-14845,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
56,BT-11305,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
57,BD-11320,Seasonal,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
58,JM-15535,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
59,LD-16855,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
60,TT-21220,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
61,DP-13105,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
62,JO-15145,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
63,SP-20545,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
64,GB-14575,Loyalty,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
65,CM-11935,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
66,PO-19195,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
67,NG-18430,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
68,LF-17185,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
69,KW-16570,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
70,GM-14695,Loyalty,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
71,CS-11950,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
72,LC-16960,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
73,AS-10045,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
74,BK-11260,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
75,PF-19165,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
76,KN-16705,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
77,FW-14395,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
78,GR-14560,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
79,SG-20890,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
80,JO-15550,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
81,BD-11725,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
82,HM-14860,Loyalty,15.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
83,SM-20005,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
84,ON-18715,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
85,KH-16690,Loyalty,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
86,DB-12970,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
87,AH-10690,Seasonal,15.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
88,KH-16360,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
89,CL-12565,Promotional,20.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
90,BW-11065,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
91,VM-21835,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
92,MG-17680,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
93,KD-16345,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
94,DB-13615,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
95,FG-14260,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
96,MV-18190,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
97,NR-18550,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
98,ND-18460,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
99,DJ-13510,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
100,BD-11605,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
101,JH-15985,Coupon,15.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
102,FH-14350,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
103,RW-19630,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
104,GH-14485,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
105,JM-15580,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
106,BP-11230,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
107,SN-20560,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
108,JK-15205,Festival,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
109,DB-13660,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
110,TB-21055,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
111,SC-20680,Seasonal,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
112,MC-17605,Loyalty,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
113,MW-18235,Loyalty,10.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
114,PA-19060,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
115,SR-20425,Festival,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
116,AC-10660,Promotional,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
117,LT-17110,Coupon,5.0,2019-01-01,2019-12-31,False,2026-08-06 01:42:54.905785
